date,health.transfers,federal.health,state.health,social.transfers,federal.social,state.social,federal.stabilizers.transfers,state.stabilizers.transfers,non.corp.taxes,state.non.corp.taxes,federal.non.corp.taxes,federal.stabilizers.non.corp.taxes,state.stabilizers.non.corp.taxes,corp.taxes.adj,federal.corp.taxes,State.Corporate.taxes,federal.stabilizers.corp.taxes,state.stabilizers.corp.taxes,federal.c,state.c,federal.taxes,state.taxes,federal.transfers,state.transfers,federal.stabilizers,state.stabilizers,stabilizers,federal.stabilizers.taxes,state.stabilizers.taxes,stabilizers.taxes,transfers,taxes,consumption,consumption.discres,taxes.discres,federal.taxes.discres,state.taxes.discres,stabilizers.transfers,transfers.discres,federal.transfers.discres,state.transfers.discres,G.purchases,federal.purchases,federal_cont,,federal.purchases.exdef,state.purchases,G.purchases.exdef,G.purchases.def,Contribution.to..Ch.in.Real.GDP.from..G.,total,federal,state,federal.discres,state.discres,discres
10/1/1977,0.008905563,0.002673316,0.006232247,-0.289860907,-0.286274037,-0.00358687,-0.067914544,-0.009433713,-0.250513927,-0.057169906,-0.193344021,-0.222519875,-0.064538358,-0.064246046,-0.045423186,-0.018822859,-0.006864617,-0.001159865,-0.522367928,-0.073347388,-0.238767207,-0.075992765,-0.283600721,0.002645377,-0.297299036,-0.075131937,-0.372430973,-0.229384492,-0.065698224,-0.295082715,-0.280955344,-0.314759972,-0.595715316,-0.223284343,-0.019677257,-0.009382716,-0.010294541,-0.077348258,-0.203607086,-0.215686177,0.01207909,-0.91620266,-0.915025624,-0.915025625,,-0.203065995,-0.09277213,-0.295838125,-0.544990115,-0.23,-1.603513071,-1.437393552,-0.166119519,-1.140094517,-0.090987581,-1.231082098
1/1/1978,0.035422117,0.036937406,-0.001515289,-0.289114996,-0.271798418,-0.017316578,-0.137125993,0.004216478,-0.243306596,-0.005320188,-0.237986408,-0.024700092,0.005898187,-0.071404273,-0.060496402,-0.010907871,-0.007380341,-0.001436012,-0.533343821,-0.035059926,-0.29848281,-0.016228059,-0.234861011,-0.018831867,-0.169206427,0.008678653,-0.160527774,-0.032080434,0.004462174,-0.027618259,-0.253692878,-0.314710869,-0.568403747,-0.407875973,-0.28709261,-0.266402376,-0.020690234,-0.132909515,-0.120783364,-0.097735018,-0.023048345,-0.688507833,0.206772306,0.206865626,,0.326478921,-0.891863861,-0.565384939,-0.155877021,-0.03,-1.253495302,-0.326571515,-0.926923787,-0.157365089,-0.935602439,-1.092967528
4/1/1978,0.014546149,0.021355382,-0.006809232,-0.294791822,-0.275606585,-0.019185237,-0.10678399,-0.014489344,-0.302503095,-0.005390221,-0.297112875,-0.388922278,-0.118652441,-0.126158706,-0.108086457,-0.018072248,-0.018583556,-0.003553805,-0.659450535,-0.049456938,-0.405199332,-0.023462469,-0.254251203,-0.025994469,-0.514289824,-0.136695591,-0.650985415,-0.407505834,-0.122206246,-0.52971208,-0.280245672,-0.428661801,-0.708907473,-0.057922059,0.101050279,0.002306502,0.098743778,-0.121273334,-0.158972338,-0.147467213,-0.011505125,1.342132395,0.48791785,0.487920975,,0.213975735,0.827406703,1.041382438,0.313768807,2.13,0.606417079,-0.171532686,0.777949765,0.342757138,0.914645356,1.257402494
7/1/1978,0.05435913,0.043899511,0.010459619,-0.247940162,-0.234296604,-0.013643558,-0.066228744,0.008561242,-0.258305367,0.139756009,-0.398061375,-0.446575201,-0.128206252,-0.055756291,-0.048130302,-0.007625989,-0.017641461,-0.003342483,-0.63658877,0.12894608,-0.446191677,0.132130019,-0.190397092,-0.003183939,-0.530445406,-0.122987493,-0.653432899,-0.464216662,-0.131548735,-0.595765397,-0.193581031,-0.314061658,-0.507642689,0.14579021,0.281703739,0.018024985,0.263678754,-0.057667502,-0.135913529,-0.124168348,-0.011745181,0.012659447,-0.474437653,-0.474438548,,-0.366729602,0.489491835,0.122762234,-0.087615688,0.73,-0.492588507,-1.111026423,0.618437916,-0.580581017,0.741425409,0.160844392
10/1/1978,0.076929324,0.056105042,0.020824282,-0.311123413,-0.287978435,-0.023144978,-0.101224345,0.004179567,-0.267560347,0.16465355,-0.432213897,-0.307178486,-0.090260378,-0.067501135,-0.058653306,-0.008847828,-0.017901082,-0.003390509,-0.722740597,0.153485025,-0.490867203,0.155805722,-0.231873393,-0.002320696,-0.426303913,-0.089471319,-0.515775232,-0.325079568,-0.093650886,-0.418730454,-0.23419409,-0.335061482,-0.569255571,-0.053480339,0.083668973,-0.165787635,0.249456608,-0.097044778,-0.137149312,-0.130649049,-0.006500263,0.006773079,-0.059682435,-0.059681936,,0.052071351,0.024753997,0.076825348,-0.073186106,0.73,-0.604184009,-0.782423031,0.178239023,-0.356119119,0.267710342,-0.088408777
1/1/1979,0.049559659,0.048655564,0.000904096,-0.25101121,-0.172899521,-0.078111689,-0.035750368,-0.014496874,-0.236744926,0.129575453,-0.366320379,-0.2243426,-0.053856376,-0.00279061,0.000908237,-0.003698847,-0.011178856,-0.002243288,-0.489656099,0.048669012,-0.365412142,0.125876606,-0.124243957,-0.077207593,-0.271271824,-0.070596539,-0.341868363,-0.235521457,-0.056099664,-0.291621121,-0.20145155,-0.239535536,-0.440987087,-0.099118724,0.052085584,-0.129890685,0.18197627,-0.050247242,-0.151204308,-0.088493589,-0.062710719,-1.505147693,-1.129049615,-1.12914283,,-0.985793378,-0.328437677,-1.314231055,-0.214039879,-0.79,-1.898474379,-1.618705714,-0.279768665,-1.347433889,-0.209172127,-1.556606016
4/1/1979,0.035301121,0.042154951,-0.00685383,-0.189710385,-0.121882199,-0.067828186,-0.023284015,-0.010663783,-0.057947743,0.210132511,-0.268080253,-0.069583559,-0.001170457,0.002018238,0.004948496,-0.002930258,-0.008314232,-0.001670069,-0.342859006,0.132520236,-0.263131758,0.207202253,-0.079727248,-0.074682017,-0.101181806,-0.013504309,-0.114686115,-0.077897791,-0.002840526,-0.080738317,-0.154409265,-0.055929505,-0.21033877,-0.095652654,0.024808813,-0.185233966,0.210042779,-0.033947798,-0.120461467,-0.056443233,-0.064018234,0.134659743,-0.106280842,-0.10628084,,-0.311984264,0.303534767,-0.008449496,0.10416514,0.77,-0.013084844,-0.449139848,0.436055004,-0.347958041,0.449559313,0.101601271
7/1/1979,0.028533357,0.037901498,-0.00936814,0.010253504,0.051356037,-0.041102533,-0.010064662,-0.002611579,-0.087871132,0.189245814,-0.277116946,-0.02123817,-0.003812751,0.013177515,0.013304858,-0.000127342,-0.008546809,-0.001741183,-0.174554554,0.138647799,-0.263812089,0.189118472,0.089257534,-0.050470673,-0.03984964,-0.008165513,-0.048015153,-0.029784978,-0.005553934,-0.035338913,0.038786861,-0.074693616,-0.035906755,0.012108398,-0.039354704,-0.23402711,0.194672407,-0.012676241,0.051463102,0.099322196,-0.047859094,-0.379525544,-0.071633806,-0.071633808,,0.059008792,-0.225256161,-0.166247369,-0.27049289,0.24,-0.332796723,-0.24618836,-0.086608362,-0.20633872,-0.078442849,-0.284781569
10/1/1979,0.055610135,0.056549322,-0.000939187,0.03894054,0.074251419,-0.035310879,0.045316076,0.00963671,-0.077273763,0.174690686,-0.251964449,-0.026350728,-0.005465974,0.031345708,0.028976005,0.002369703,-0.006371172,-0.001309799,-0.092187703,0.140810323,-0.222988444,0.177060388,0.130800741,-0.036250065,0.012594177,0.002860936,0.015455113,-0.032721899,-0.006775774,-0.039497673,0.094550676,-0.045928055,0.048622621,0.033167507,-0.006430383,-0.190266545,0.183836162,0.054952786,0.03959789,0.085484665,-0.045886775,-0.030927493,-0.471925958,-0.471925954,,-0.44615865,0.405777924,-0.040380726,0.007597858,0.52,-0.017525414,-0.56411366,0.546588247,-0.576707837,0.543727311,-0.032980527
1/1/1980,0.067587401,0.051516185,0.016071216,0.107783752,0.109351389,-0.001567637,0.01975072,0.006008825,0.221518576,0.249937959,-0.028419383,0.028586648,-0.000221555,0.020178066,0.026521365,-0.006343299,-0.004299285,-0.000903399,0.158969555,0.25809824,-0.001898018,0.243594661,0.160867573,0.014503579,0.044038083,0.004883871,0.048921954,0.024287363,-0.001124955,0.023162409,0.175371152,0.241696642,0.417067795,0.368145841,0.218534234,-0.026185382,0.244719616,0.025759545,0.149611607,0.141116854,0.008494754,0.700452249,0.640389009,0.640389017,,0.124417244,0.123914387,0.24833163,0.432214574,1.18,1.181371191,0.799358564,0.382012627,0.755320481,0.377128756,1.132449237
