"","date","health_outlays","social_benefits","noncorporate_taxes","noncorporate_taxesb","corporate_taxes","federal_real","federal_realb","federal_real_growth","federal_real_growthb","federal_nom","federal_nomb","federal_cont","state_local_real","state_local_real_growth","state_local_nom","state_local_cont","nom_federal_share","nom_federal_shareb","nom_state_local_share","nom_g_share","real_gdp","nom_gdp","growth_real_gdp","growth_potential_real_gdp","nom_consumption_share","pce_deflator","real_pce","growth_real_pce","federal_contb","health_outlays_xmpc","social_benefits_xmpc","noncorporate_taxes_xmpc","corporate_taxes_xmpc","outlays_net_taxes","real_outlays_net_taxes","consumption_no_taxes","growth_consumption_no_taxes","difference_in_consumption_growth","taxes_transfers_cont","neutral_fi","fim_bars","fim_bars_ma"
"182",2015-06-30,1168.6,1463.1,4414.4,NA,410.6,1183,1183,NA,NA,1221,1221,0.07,1903,NA,2016.6,0.63,0.0670094888948648,0.0670094888948648,0.110672674287784,0.177682163182649,17397,18221.3,3.3398442504937,1.77112362664871,0.672657823536191,103.106,11887.5,3.40526804869021,NA,1023.84,1293.5925,-2536.572,-149.236666666667,-368.376166666667,-357.279078488805,12244.7790784888,3.41173752794983,-0.00646947925961872,-0.00435174583818765,0.31469707724684,0.695648254161812,0.261931833135123
"183",2015-09-30,1179,1465.8,4432.2,NA,379.8,1181.2,1181.2,NA,NA,1221.4,1221.4,-0.04,1918.8,NA,2035.5,0.37,0.0666299349193447,0.0666299349193447,0.111040799515577,0.177670734434922,17438.8,18331.1,0.964554614466961,1.76793837759452,0.675393184260628,103.415,11972,2.8737835583218,NA,1039.455,1305.2475,-2568.558,-150.8,-374.655500000001,-362.283517864914,12334.2835178649,2.95605473253939,-0.0822711742175963,-0.0555653903276833,0.314110909982904,0.274434609672317,0.280698197241046
"184",2015-12-31,1187,1469.9,4465.8,NA,346.5,1188,1188,NA,NA,1226.6,1226.6,0.16,1917.5,NA,2027.2,-0.03,0.0668286623370963,0.0668286623370963,0.110447631085734,0.17727629342283,17456.2,18354.4,0.399707761003576,1.75555721105334,0.678044501590899,103.368,12039.7,2.28120344482916,NA,1052.955,1316.25,-2598.144,-151.256666666667,-380.195666666667,-367.807896705622,12407.5078967056,2.39589190643161,-0.114688461602452,-0.0777638807854618,0.311218675267257,0.0522361192145382,0.361623570129397
"185",2016-03-31,1201.5,1485.9,4439.9,NA,373.4,1188.6,1188.6,NA,NA,1223.5,1223.5,0.02,1942.9,NA,2039.2,0.58,0.0664616955744713,0.0664616955744713,0.110771303322813,0.177232998897284,17523.4,18409.1,1.5487686909722,1.73185213120515,0.680451515826412,103.424,12111.8,2.41701198962647,NA,1065.6225,1324.0575,-2618.01,-152.01,-380.340000000001,-367.748298267328,12479.5482982673,2.34278326197361,0.0742287276528586,0.0505090502492535,0.306941346860142,0.650509050249254,0.418207008324481
"186",2016-06-30,1216.5,1491.8,4476.3,NA,373.9,1183.9,1183.9,NA,NA,1225.4,1225.4,-0.1,1940.9,NA,2052.9,-0.04,0.0657378746506301,0.0657378746506301,0.110129984388998,0.175867859039628,17622.5,18640.7,2.28137995059328,1.66966547875476,0.681653585970484,104.031,12214.1,3.42156903363426,NA,1076.4,1330.515,-2638.23,-152.896666666667,-384.211666666667,-369.324207848302,12583.4242078483,3.37127804620005,0.0502909874342095,0.0342810319265254,0.293640493060975,-0.105718968073475,0.21786520276566
"187",2016-09-30,1232,1494.8,4528.2,NA,400.5,1188.7,1188.7,NA,NA,1235.9,1235.9,0.11,1943.8,NA,2064.7,0.07,0.0657407604417115,0.0657407604417115,0.109826804825635,0.175567565267346,17706.7,18799.6,1.92493423116884,1.65591518301313,0.683269856805464,104.481,12294.3,2.65245495412481,NA,1088.325,1337.04,-2662.782,-154.436666666667,-391.853666666668,-375.047775831652,12669.3477758317,2.75942857094529,-0.106973616820483,-0.0730918478468938,0.290724996970848,0.106908152153106,0.175983588385857
"188",2016-12-31,1249.7,1497.4,4567.7,NA,376.1,1190.1,1190.1,NA,NA,1244.1,1244.1,0.03,1943.6,NA,2078.3,0,0.065550708143652,0.065550708143652,0.109504088686562,0.175054796830214,17784.2,18979.2,1.76227750920364,1.64908844977958,0.684401871522509,104.984,12372.7,2.57527866609828,NA,1102.4325,1343.2275,-2686.248,-155.076666666667,-395.664666666668,-376.880921537251,12749.5809215373,2.55730689017872,0.0179717759195563,0.0122999170739275,0.288680843531217,0.0422999170739275,0.173499537850704
"189",2017-03-31,1256.7,1520.7,4616.7,NA,336.2,1190,1190,-0.62646635819158,-0.62646635819158,1252.4,1252.4,0,1937.7,-0.0560498830210698,2093.9,-0.13,0.0653564756348304,0.0653564756348304,0.10927014079509,0.174626616429921,17863,19162.6,1.78417429146112,1.63781549387039,0.684359116195088,105.524,12427.6,1.78672349815432,NA,1114.8525,1351.0575,-2707.536,-153.126666666667,-394.752666666668,-374.088043162378,12801.6880431624,1.64483627687442,0.141887221279902,0.0971018133544904,0.286006178031085,-0.0328981866455096,0.00264772862701362
"190",2017-06-30,1261,1525.6,4648.9,NA,343.7,1197.1,1197.1,0.179815643536974,0.179815643536974,1264,1264,0.16,1931.3,-0.1120919043614,2096,-0.15,0.0652922914804924,0.0652922914804924,0.108269495999297,0.17356178747979,17995.2,19359.1,2.99333431957574,1.64234667869254,0.68356483514213,105.731,12515.9,2.87249486966576,NA,1124.865,1358.6625,-2726.478,-150.746666666667,-393.697166666668,-372.357366020058,12888.2573660201,2.73249603783554,0.139998831830224,0.0956982784001176,0.285048625215374,0.105698278400118,0.0555020402454117
"191",2017-09-30,1283.2,1537.3,4713.3,NA,349.9,1193.2,1193.2,0,0,1263.8,1263.8,-0.08,1926.9,-0.0560734548498698,2108.5,-0.1,0.0645187639434146,0.0645187639434146,0.107641884613617,0.172160648557032,18120.8,19588.1,2.82122106597755,1.68029509268866,0.682000806612178,106.152,12584.9,2.2234979254758,NA,1136.385,1368.225,-2749.14,-149.556666666667,-394.086666666668,-371.247519280529,12956.1475192805,2.12374612318074,0.0997518022950672,0.0680308096262543,0.289280692924477,-0.111969190373746,0.000782704613698688
"192",2017-12-31,1289.8,1541.7,4763.4,NA,320.4,1205.2,1205.2,0.991541717308531,0.991541717308531,1280.6,1280.6,0.26,1933.5,0.562112163236184,2138.5,0.15,0.0645730594298047,0.0645730594298047,0.107831865993001,0.172404925422806,18223.8,19831.8,2.29308909609698,1.74000767218097,0.684718482437298,106.869,12706.4,3.91805644687453,NA,1145.4075,1378.1925,-2773.866,-147.253333333333,-397.519333333333,-371.968796688781,13078.3687966888,3.82711398890936,0.0909424579651708,0.0622699818070295,0.299985892957469,0.472269981807029,0.108275220796974
"193",2018-03-31,1294.44148236274,1565.72141147853,4805.07785833454,4805.07785833454,308.869043184209,1211.45633130473,1211.45633130473,2.07644583628459,2.07644583628459,1294.27227369436,1294.27227369436,0.133929110345733,1936.7573238752,0.673870985301694,2157.38976068918,0.0724492843346141,0.0644992072537632,0.0644992072537632,0.107512099370443,0.172011306624206,18350.0746280052,20066.4834313735,2.80058289812772,1.7109324956267,0.684116239247163,107.34640164289,12788.1228874736,2.59757888129213,0.133929110345733,1153.89933353162,1388.32231758267,-2801.28334300015,-143.995634772807,-403.057326658667,-375.473532871202,13163.5964203448,2.63226562179486,-0.0346867405027318,-0.0237297624644711,0.294299734118564,0.182648632215876,0.162161925512321
"194",2018-06-30,1299.10514590472,1592.702067142,4853.52575174146,4853.52575174146,298.09898788811,1219.91133322528,1219.91133322528,2.79168194579278,2.79168194579278,1311.09939583833,1311.09939583833,0.180049104150349,1944.10938192832,1.51842628139065,2184.44952972672,0.163164297996309,0.0644948484986599,0.0644948484986599,0.107456186708567,0.171951035207227,18490.5087160902,20328.7460372215,3.09654224367806,1.7985714507232,0.683116039343789,107.920042846622,12864.6757149425,2.41608471930077,0.180049104150349,1162.47299136018,1403.42028268962,-2829.32443320912,-140.245601035744,-403.676760195067,-374.051704898581,13238.7274198411,2.30261279101804,0.113471928282727,0.0775144942251988,0.309266222846018,0.420727896371857,0.240919330005256
"195",2018-09-30,1303.79111204619,1620.70118287344,4904.16576585487,4904.16576585487,287.913549651593,1233.91368789244,1233.91368789244,4.59126963929164,4.59126963929164,1333.76601826824,1333.76601826824,0.297349744603908,1952.83203317234,1.79468322618002,2213.89743688046,0.192930292933267,0.0647641650272983,0.0647641650272983,0.107501028660038,0.172265193687336,18631.215465126,20594.1976972305,3.07879060433232,1.88514733633387,0.682468954842607,108.566027148676,12942.5884464712,2.44462878913474,0.297349744603908,1167.10599157057,1422.18554883614,-2857.82765361163,-137.182719357464,-405.718832562381,-373.70699031546,13316.2954367866,2.36434841852136,0.0802803706133837,0.0547888606268931,0.324745271022719,0.545068898164068,0.405178852139709
"196",2018-12-31,1331.22322185538,1636.1105375111,4959.27528150435,4959.27528150435,288.399913975914,1250.15502301548,1250.15502301548,5.26498256155448,5.26498256155448,1358.84184031825,1358.84184031825,0.342976497903013,1959.63669760633,1.393804345361,2239.89913330377,0.149667942859978,0.0651429504073704,0.0651429504073704,0.107380884094756,0.172523834502127,18774.103212578,20859.3843511962,3.10317776901416,1.97061173697841,0.681155598170245,109.139671945805,13012.3485940384,2.17348128683155,0.342976497903013,1176.42621648803,1443.42791977614,-2887.66714228767,-135.246049823328,-403.059055846819,-369.305724179713,13381.6543182181,1.97777673851622,0.195704548315323,0.133305248672361,0.339977493178412,0.625949689435352,0.44359877904679
"197",2019-03-30,1359.30744960506,1651.49006349092,5015.12378698374,5015.12378698374,288.893370628887,1266.67701987993,1266.67701987993,5.28638338774936,5.28638338774936,1384.1861483257,1384.1861483257,0.346193868447869,1966.71501507643,1.4448223956504,2266.16538329672,0.154907441941773,0.0654878473722011,0.0654878473722011,0.10721555978653,0.172703407158731,18926.2674320237,21136.534546,3.28163048140777,2.03728991867915,0.680197484679238,109.66517071214,13100.0634335731,2.72374339686277,0.346193868447869,1191.02105911756,1462.72586647893,-2918.23005077442,-132.429162177624,-396.912287355561,-361.931034965893,13461.994468539,2.42321501542271,0.300528381440057,0.204418649130249,0.351846910326024,0.705519959519892,0.574316610872794
"198",2019-06-30,1388.06056735341,1665.94361465055,5069.62362459829,5069.62362459829,289.324749980628,1279.00934498707,1279.00934498707,3.89438662376886,3.89438662376886,1403.9293680505,1403.9293680505,0.25548961766812,1972.972727814,1.27272384450339,2290.05477693515,0.13619745234134,0.0656045848423919,0.0656045848423919,0.107012572232026,0.172617157074418,19060.9828089442,21399.8666621136,2.87770532188103,2.08544410438436,0.679972852141109,110.214733961307,13192.6873009799,2.85833273080509,0.25548961766812,1211.03602894351,1479.20521466835,-2950.09436883596,-129.609987176978,-389.463112401068,-353.367556589846,13546.0548575698,2.52120192618146,0.337130804623631,0.229239794764557,0.359983432536433,0.620926864774018,0.624366352973334
"199",2019-09-30,1417.49979757075,1679.90705080969,5123.82887731616,5123.82887731616,289.728695190457,1284.13821376775,1284.13821376775,1.60401291852406,1.52960896294987,1416.04825515774,1415.78235849732,0.104880878474626,1978.68394096489,1.15788993337267,2312.89025517794,0.123660986271002,0.0653865547237192,0.0653742768465536,0.106798567555386,0.172185122279105,19187.5357252147,21656.5662641354,2.68231397849508,2.12119976300174,0.680228985828085,110.740233721472,13290.771535003,3.0072269592714,0.0999970798108544,1236.62048318654,1492.52653495401,-2981.24840689487,-125.917610349993,-378.018999104317,-341.35651190252,13632.1280469055,2.56597361699793,0.441253342273473,0.300153313507938,0.365239040570862,0.528695178253565,0.620272922995708
"200",2019-12-31,1439.20042459425,1701.33075420966,5190.40755800404,5190.40755800404,295.388571185153,1288.99286291952,1288.99286291952,1.51218898393273,-0.67170207438374,1427.7497494361,1419.61532336592,0.09854750090661,1984.12207580208,1.0993438061748,2335.98907889488,0.117217321904586,0.0651687731848958,0.0647974822301845,0.10662480767727,0.171793580862166,19304.5791981254,21908.495122124,2.46240642138669,2.15056849469526,0.680747406307578,111.289796292422,13387.7633098668,2.95118072230154,-0.0435246032288585,1260.91535380278,1507.20108371118,-3014.11589637946,-123.227229389498,-369.226688254988,-331.770477218611,13719.5337870855,2.5894702283852,0.361710493916334,0.246233480567777,0.369453862593056,0.461998303378973,0.579285076481614
