year,quarter,recession,projection,total,impact,federal,state_local,consumption
2010,Q1,0,0,1.354854420360992,2.0739197019190563,0.49010695720144737,-1.0635978645207083,1.928345327680253
2010,Q2,0,0,1.0461446784237167,1.7458403171277732,0.42030956137776054,-0.37639879104271,1.0022339080886662
2010,Q3,0,0,0.3169818531861599,1.237322307453867,0.08455124436341505,-0.9266923783968273,1.159122987219572
2010,Q4,0,0,0.3146888297176571,0.7581674454221311,-0.7063634794243946,-0.08829624979960171,1.1093485589416534
2011,Q1,0,0,-1.5532473698233575,0.031141997876043714,-0.7791842320308732,-0.520727627494813,-0.2533355102976714
2011,Q2,0,0,-1.2864864005492,-0.5520157718671854,-0.17918265908624523,-0.6686679888322142,-0.4386357526307405
2011,Q3,0,0,-2.198584423960673,-1.1809073411538937,-1.410076980392139,-0.05152418484441068,-0.7369832587241233
2011,Q4,0,0,-1.1801172968877147,-1.5546088728052365,-0.21055331838900235,-0.14043360479769287,-0.8291303737010195
2012,Q1,0,0,-1.3979951697589357,-1.515795822789131,-0.3909270564522251,-0.2560200781047454,-0.7510480352019653
2012,Q2,0,0,-1.2582145271849305,-1.5087278544480636,-0.6442132037942119,-0.06640099407624728,-0.5476003293144714
2012,Q3,0,0,-0.7606453420991239,-1.1492430839826762,-0.07052941796100387,-0.3554763575157842,-0.33463956662233585
2012,Q4,0,0,-1.4843970521453036,-1.2253130227970734,-0.8865916234440627,-0.18323640510705366,-0.4145690235941872
2013,Q1,0,0,-1.6506984044835644,-1.2884888314782306,-1.0477908829659988,0.04953696020514492,-0.6524444817227106
2013,Q2,0,0,-1.144600253203651,-1.2600852629829107,-0.3471829962638515,-0.0966042891959619,-0.7008129677438376
2013,Q3,0,0,-1.1073408964516585,-1.3467591515710442,-0.6132388212289077,-0.10286351926024569,-0.391238555962505
2013,Q4,0,0,-1.3726262101956541,-1.3188164410836318,-0.9172888700772799,0.015407377943307987,-0.47074471806168217
2014,Q1,0,0,-1.186049044816126,-1.2026541011667724,-0.2587432465973415,-0.3629080917018036,-0.5643977065169808
2014,Q2,0,0,-0.6346597632674247,-1.0751689786827159,-0.09302646274323333,-0.12989103379596162,-0.41174226672822967
2014,Q3,0,0,-0.03659097916608614,-0.8074814993613229,0.034696190202119476,0.13811844955051913,-0.20940561891872475
2014,Q4,0,0,-0.4419262105968742,-0.5748064994616279,-0.8456653475137065,0.4977560396995079,-0.09401690278267563
2015,Q1,0,0,0.15635029912232168,-0.2392066634770159,0.0488266565076218,0.00794499122983091,0.09957865138486896
2015,Q2,0,0,0.3383029560341056,0.0040340163483666425,-0.07135988355089964,0.36963210067616853,0.04003073890883675
2015,Q3,0,0,0.04849900737443047,0.025306512983495795,-0.04123200610439566,0.056736085067074934,0.032994928411751195
2015,Q4,0,0,0.009885262284934478,0.13825938120394796,0.13057147541361816,-0.17399165077453912,0.05330543764585544
2016,Q1,0,0,0.29345916569447267,0.1725365978469857,-0.009520454394792793,0.3618699123118419,-0.0588902922225764
2016,Q2,0,0,-0.44992632432702473,-0.02452072224329689,-0.20287302638072152,-0.19801405983408732,-0.04903923811221586
2016,Q3,0,0,0.011395225859876894,-0.033796667621935284,-0.05943276617148831,0.10540907515963818,-0.03458108312827298
2016,Q4,0,0,-0.1741196199251949,-0.07979788817446762,-0.14690823866134925,0.05240041216595906,-0.0796117934298047
2017,Q1,0,0,-0.154171907533439,-0.19170565648144555,-0.2842812308453224,0.01102558298453079,0.11908374032735264
2017,Q2,0,0,0.010791338759209377,-0.07652624070988703,0.11015177199747493,-0.12291381394097285,0.023553380702707297
2017,Q3,0,0,-0.24402766234787746,-0.1403819627618256,-0.36425096966069537,0.10861934149433246,0.011603965818485457
2017,Q4,0,0,0.2010037246319112,-0.04660112662254908,0.22375698759464288,-0.02712450934502616,0.004371246382294505
2018,Q1,0,0,0.25905498002178623,0.05670559526625723,-0.013114196852346178,-0.03836760891619392,0.31053678579032634
