"","date","cpiu_g.x","pcw_g","gftfp_g","gfrpt_g","gfrpri_g","gfrcp_g","gfrs_g","yptmr_g","yptmd_g","gfrptb_g","gsrpt_gdp","gsrpri_gdp","gsrcp_gdp","gsrs_gdp","jgf_g","jgs_g","jc_g","gdp_g","gdph_g","gdppothq_g","gdppotq_g","dc_g","jgdp_g","c_g","ch_g","gh_g","gfh_g","gsh_g","g_g","gf_g","gs_g","cpiu_g.y","gsrpt_g","gsrpri_g","gsrcp_g","gsrs_g","gdp","c","ch","gdph","jc","jgdp","jgf","jgs","jgse","jgsi","ptgh","ptgsh","ptgfh","yptmr","yptmd","yptu","gtfp","ypog","yptx","ytpi","yctlg","g","gfrcf","grcsi","dc","gf","gs","gfh","gsh","gfrpt","gfrpri","gfrcp","gfrs","gftfp","gfeg","gsrpt","gsrpri","gsrcp","gsrs","gstfp","gset","gfeghhx","gfeghdx","gfeigx","pcw","gdppothq","gdppotq","recessq","fshare","gstfp_g","gstfpnet_g","gftfpnet_g","gfeghhx_g","gfeghdx_g","gfeg_g","gfeigx_g","jgsi_g","jgse_g","gfsave","gssave","gfrptsave","yfptmd","ysptmd","gfegnet","gstfpnet","gftfpnet","yptxb"
"21",1975-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1616.1,985.2,3540.6,5548.2,27.83,29.142,27.603,20.493,19.077,27.689,1.03,1.44,-0.4,14.5,13.3,14.2,149.8,2.3,158,128.8,37.6,370.1,5.5,88.2,27.825,168.6,201.5,611.1,983.4,132.3,19.8,31.5,86.5,120.5,39.3,25.7,109,6.1,1.8,29.2,235.9,NA,NA,8.652,52.8666666666667,5815.4,1694.7,1,0.55101889,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.6,201.5,132.3,7.328551237,5.971448763,31.971448763,21.871448763,127.828551237,NA
"22",1975-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1651.9,1013.6,3598.9,5587.8,28.172,29.565,28.003,20.899,19.536,27.826,-0.74,-0.35,-0.39,15.2,13.8,19.4,164.6,2.4,121.1,133,40.8,373.4,5.4,88.6,28.164,169.4,204,605,976.4,94.6,21.3,34.2,86.8,134.2,44.3,26.5,111.7,6.6,1.8,30.5,240.3,NA,NA,7.804,53.5,5864.4,1733.8,-1,0.55101889,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.4,204,94.6,7.604060682,6.195939318,36.695939318,22.895939318,141.804060682,NA
"23",1975-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1709.8,1047.2,3650,5683.4,28.699,30.087,28.38,21.166,19.837,27.914,1.75,0.64,1.1,16,13.8,20.2,167.7,2.6,152.8,138.2,51.4,385.4,5.2,90.3,28.69,176.1,209.3,620.6,988.9,125.7,23.3,43.2,88.5,136.8,45,27.2,114.9,8.2,1.9,31,246.6,NA,NA,10.772,54.5666666666667,5912.6,1778.9,-1,0.55101889,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.1,209.3,125.7,7.604060682,6.195939318,37.395939318,23.395939318,144.404060682,NA
"24",1975-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1761.8,1076.2,3689.3,5760,29.18,30.59,29.032,21.437,20.126,28.084,0.82,0.66,0.16,16.8,14.6,18.8,170.4,2.7,158.5,141.1,52.3,395.6,5.5,92.4,29.172,180.8,214.8,622.7,1002.1,130.4,23.9,43.9,90.5,137.8,45.9,28.2,117.3,8.4,2,32.6,254.2,NA,NA,10.424,55.5666666666667,5960.3,1823.2,-1,0.55101889,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.8,214.8,130.4,8.044875794,6.555124206,37.855124206,24.555124206,145.844875794,NA
"25",1976-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1820.5,1109.9,3763,5889.5,29.502,30.925,29.456,21.679,20.388,28.222,0.18,0.56,-0.38,17.6,15.2,17.7,174.7,2.8,162.5,141.7,59.6,401.3,5.8,99.6,29.495,181.6,219.7,616.5,1013.3,133,20.8,49.9,97.5,141.3,47,29.5,120.9,9.7,2,33.4,260.3,NA,NA,10.012,56.2333333333333,6006.7,1857.6,-1,0.602646826,NA,NA,NA,NA,NA,NA,NA,NA,NA,181.6,219.7,133,9.1602317552,6.0397682448,37.8397682448,24.2397682448,150.4602317552,NA
"26",1976-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852.3,1129.5,3797.7,5932.7,29.749,31.233,29.703,21.942,20.654,28.464,-0.97,-0.85,-0.13,18.4,14.9,16.3,173.1,3,169.3,144.9,58.6,401,5.8,101.1,29.743,182.5,218.5,614.4,995.6,138.7,21.3,49,98.9,139.6,47.8,30.6,123.5,9.6,2.1,33.4,259.4,NA,NA,9.76,56.7333333333333,6052.9,1890.5,-1,0.602646826,NA,NA,NA,NA,NA,NA,NA,NA,NA,182.5,218.5,138.7,8.9794377074,5.9205622926,38.8205622926,24.4205622926,148.5794377074,NA
"27",1976-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1886.6,1158.8,3837.7,5965.3,30.2,31.632,30.043,22.105,20.834,28.526,-0.24,-0.31,0.08,19.2,15.9,16.1,180.1,3.1,176.1,147.7,58.1,403.5,5.9,102.8,30.196,184.9,218.6,615.3,989,144.5,21.7,48.5,100.6,145.4,48.7,31.6,126,9.7,2.2,34.7,261.3,NA,NA,10.592,57.6,6099.4,1929.4,-1,0.602646826,NA,NA,NA,NA,NA,NA,NA,NA,NA,184.9,218.6,144.5,9.5820845334,6.3179154666,39.1179154666,25.1179154666,154.9820845334,NA
"28",1976-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1934.3,1192.4,3887.4,6008.5,30.678,32.169,30.846,22.369,21.11,28.72,-0.02,-0.14,0.11,20,15.9,15.5,182.7,3.2,182.7,151.3,57.1,410.8,6,104.4,30.673,190.2,220.6,616.7,986,150.1,21.7,47.5,102.1,147.7,52.7,32.6,129.6,9.6,2.3,35,263.9,NA,NA,11.108,58.4333333333333,6146.6,1977.3,-1,0.602646826,NA,NA,NA,NA,NA,NA,NA,NA,NA,190.2,220.6,150.1,9.5820845334,6.3179154666,43.1179154666,25.4179154666,157.2820845334,NA
"29",1977-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988.6,1228.2,3933.3,6079.5,31.231,32.689,31.283,22.791,21.538,29.092,0.76,0.46,0.31,20.9,16.2,15.5,185.5,3.3,188.8,154.8,61.5,421.2,5.9,110,31.226,194.2,227,620.9,995.8,155.3,22,51,107.5,149.8,50.7,33.5,132.9,10.5,2.5,35.7,271.1,NA,NA,10.716,59.5333333333333,6195.8,2025.4,-1,0.566651397,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.2,227,155.3,9.1797526314,7.0202473686,41.5202473686,26.5202473686,158.9797526314,NA
"30",1977-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2055.9,1256,3954.6,6197.7,31.766,33.205,31.639,23.199,21.966,29.379,0.81,0.28,0.53,21.7,17.5,13.3,186.4,3.4,195.7,158,67.1,431.4,6,112.8,31.76,198.9,232.4,628.8,1001.9,161,22.5,55.7,110.1,148.9,53.7,34.7,135.5,11.4,2.7,37.5,278.6,NA,NA,10.652,60.6,6246.2,2074.1,-1,0.566651397,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.9,232.4,161,9.9163994475,7.5836005525,43.7836005525,27.5836005525,158.8163994475,NA
