,date,usphpip,casusxam,fnmfhfa,pcu,yp,gdp,c,ch,gdph,jc,jgdp,jgf,jgs,ptgh,ptgsh,ptgfh,yptmr,yptmd,gtfp,ypog,yptx,ytpi,yctlg,g,gfrcf,grcsi,dc,gf,gs,gfh,gsh,gfrpt,gfrpri,gfrcp,gfrs,gftfp,gfeg,gsrpt,gsrpri,gsrcp,gsrs,gstfp,gset,gdppothq,gdppotq,recessq,gftfp_g,gfrpt_g,gfrpri_g,gfrcp_g,gfrs_g,gfcexp_g,gfsubs_g,gfintpmt_g,yptmr_g,yptmd_g,gfrptb_g,gf_gdp,gf_gdpalt,gdp_g,gdph_g,gdppothq_g,gdppotq_g,dc_g,jgdp_g,c_g,ch_g,gh_g,gfh_g,gsh_g,g_g,gf_g,gs_g,gfb_g,gfhb_g,fshare,gfrcf_g,gsrpt_g,gsrpri_g,gsrs_g,gstfp_g,gsrcp_g,gfeg_g,jgs_g,jgf_g,jc_g,gfrptb,gfb,gssave,yfptmd,gfegnet,yptxb,deficit,deficitb,hpx
23,9/30/1975,NA,25.75333333,NA,54.26666667,1386.5,1709.8,1047.2,3650,5683.4,28.699,30.087,28.38,21.166,1.75,0.64,1.1,16,13.8,167.7,2.6,152.8,138.2,51.4,385.4,5.2,90.3,28.69,213.4959393,171.9040607,620.6,988.9,125.7,23.3,43.2,88.5,136.8,45,27.2,114.9,8.2,1.9,31,246.6,5912.7,1779,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55101889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.7,176.1,209.3,7.604060687,37.39593931,NA,-69.59593931,-32.2,25.75333333
24,12/31/1975,NA,26.37,NA,55.26666667,1422.7,1761.8,1076.2,3689.3,5760,29.18,30.59,29.032,21.437,0.82,0.66,0.16,16.8,14.6,170.4,2.7,158.5,141.1,52.3,395.6,5.5,92.4,29.172,218.6551242,176.9448758,622.7,1002.1,130.4,23.9,43.9,90.5,137.8,45.9,28.2,117.3,8.4,2,32.6,254.2,5960.3,1823.3,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55101889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.4,180.8,214.8,8.044875799,37.8551242,NA,-67.7551242,-29.9,26.37
25,3/31/1976,NA,26.78666667,NA,55.9,1456.1,1820.5,1109.9,3763,5889.5,29.502,30.925,29.456,21.679,0.18,0.56,-0.38,17.6,15.2,174.7,2.8,162.5,141.7,59.6,401.3,5.8,99.6,29.495,219.4403713,181.8596287,616.5,1013.3,133,20.8,49.9,97.5,141.3,47,29.5,120.9,9.7,2,33.4,260.3,6006.8,1857.6,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.60260715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,181.6,219.7,9.159628679,37.84037132,NA,-59.54037132,-21.7,26.78666667
26,6/30/1976,NA,27.33333333,NA,56.4,1481.2,1852.3,1129.5,3797.7,5932.7,29.749,31.233,29.703,21.942,-0.97,-0.85,-0.13,18.4,14.9,173.1,3,169.3,144.9,58.6,401,5.8,101.1,29.743,221.3211535,179.6788465,614.4,995.6,138.7,21.3,49,98.9,139.6,47.8,30.6,123.5,9.6,2.1,33.4,259.4,6053,1890.5,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.60260715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.7,182.5,218.5,8.978846534,38.82115347,NA,-53.02115347,-14.2,27.33333333
27,9/30/1976,NA,27.90666667,NA,57.3,1518.4,1886.6,1158.8,3837.7,5965.3,30.2,31.632,30.043,22.105,-0.24,-0.31,0.08,19.2,15.9,180.1,3.1,176.1,147.7,58.1,403.5,5.9,102.8,30.196,224.0185463,179.4814537,615.3,989,144.5,21.7,48.5,100.6,145.4,48.7,31.6,126,9.7,2.2,34.7,261.3,6099.5,1929.4,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.60260715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.5,184.9,218.6,9.581453684,39.11854632,NA,-54.11854632,-15,27.90666667
28,12/31/1976,NA,28.46333333,NA,58.13333333,1554.9,1934.3,1192.4,3887.4,6008.5,30.678,32.169,30.846,22.369,-0.02,-0.14,0.11,20,15.9,182.7,3.2,182.7,151.3,57.1,410.8,6,104.4,30.673,233.3185463,177.4814537,616.7,986,150.1,21.7,47.5,102.1,147.7,52.7,32.6,129.6,9.6,2.3,35,263.9,6146.7,1977.3,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.60260715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.1,190.2,220.6,9.581453684,43.11854632,NA,-59.61854632,-16.5,28.46333333
29,3/31/1977,NA,29.31666667,NA,59.2,1588.8,1988.6,1228.2,3933.3,6079.5,31.231,32.689,31.283,22.791,0.76,0.46,0.31,20.9,16.2,185.5,3.3,188.8,154.8,61.5,421.2,5.9,110,31.226,235.7202474,185.4797526,620.9,995.8,155.3,22,51,107.5,149.8,50.7,33.5,132.9,10.5,2.5,35.7,271.1,6196,2025.4,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.566651397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.3,194.2,227,9.179752634,41.52024737,NA,-49.72024737,-8.2,29.31666667
30,6/30/1977,NA,30.44,NA,60.23333333,1633,2055.9,1256,3954.6,6197.7,31.766,33.205,31.639,23.199,0.81,0.28,0.53,21.7,17.5,186.4,3.4,195.7,158,67.1,431.4,6,112.8,31.76,242.6836005,188.6163995,628.8,1001.9,161,22.5,55.7,110.1,148.9,53.7,34.7,135.5,11.4,2.7,37.5,278.6,6246.4,2074.1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.566651397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,198.9,232.4,9.91639945,43.78360055,NA,-42.28360055,1.5,30.44
31,9/30/1977,NA,31.34333333,NA,61.06666667,1677.7,2118.5,1286.9,3992,6309.5,32.243,33.662,31.795,23.594,0.35,-0.05,0.4,22.5,16.7,191.7,3.5,198.6,161.5,69.7,438,5.9,115.1,32.237,249.7369217,188.2630783,635.1,1000.8,162.6,23.2,57.9,112.2,154.4,57.3,35.9,138.3,11.8,2.9,37.3,282.3,6297.9,2120,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.566651397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.6,201.9,236.1,9.463078333,47.83692167,NA,-48.23692167,-0.4,31.34333333
32,12/31/1977,NA,32.52333333,NA,61.96666667,1737.4,2164.3,1324.8,4052,6309.7,32.702,34.225,32.716,23.992,-0.23,0.06,-0.28,23.3,16.5,194.3,3.6,208.5,164.3,70.1,446.7,6,117.5,32.695,254.2502519,192.5497481,630.7,1002.4,171.2,23.2,58.1,114.4,156.6,57.3,37.3,141.1,12,3,37.7,287.5,6350.8,2173.5,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.566651397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171.2,206.3,240.5,9.349748053,47.95025195,NA,-43.95025195,4,32.52333333
